Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	Gene Ontology IDs	Gene Ontology (GO)
Q55685	unreviewed	Q55685_SYNY3	Adenosylcobinamide kinase (EC 2.7.1.156) (EC 2.7.7.62) (Adenosylcobinamide-phosphate guanylyltransferase)	cobU	Synechocystis sp. (strain PCC 6803 / Kazusa)	185	GO:0005524; GO:0005525; GO:0008820; GO:0009236; GO:0016310; GO:0043752	adenosylcobinamide kinase activity [GO:0043752]; ATP binding [GO:0005524]; cobinamide phosphate guanylyltransferase activity [GO:0008820]; GTP binding [GO:0005525]; cobalamin biosynthetic process [GO:0009236]; phosphorylation [GO:0016310]
Q55896	unreviewed	Q55896_SYNY3	tRNA (cytidine/uridine-2'-O-)-methyltransferase TrmJ (EC 2.1.1.200) (tRNA (cytidine(32)/uridine(32)-2'-O)-methyltransferase) (tRNA Cm32/Um32 methyltransferase)	trmJ slr0120	Synechocystis sp. (strain PCC 6803 / Kazusa)	240	GO:0002128; GO:0003723; GO:0005829; GO:0052665; GO:0052666	cytosol [GO:0005829]; RNA binding [GO:0003723]; tRNA (cytosine-2'-O-)-methyltransferase activity [GO:0052666]; tRNA (uracil-2'-O-)-methyltransferase activity [GO:0052665]; tRNA nucleoside ribose methylation [GO:0002128]
Q55926	unreviewed	Q55926_SYNY3	Beta-lactamase (EC 3.5.2.6)	blaOXA-3	Synechocystis sp. (strain PCC 6803 / Kazusa)	304	GO:0008658; GO:0008800; GO:0017001; GO:0046677; GO:0071555	beta-lactamase activity [GO:0008800]; penicillin binding [GO:0008658]; antibiotic catabolic process [GO:0017001]; cell wall organization [GO:0071555]; response to antibiotic [GO:0046677]
P72586	unreviewed	P72586_SYNY3	GDP-mannose 4,6-dehydratase (EC 4.2.1.47) (GDP-D-mannose dehydratase)	rfbD gmd	Synechocystis sp. (strain PCC 6803 / Kazusa)	362	GO:0008446; GO:0019673; GO:0070401	GDP-mannose 4,6-dehydratase activity [GO:0008446]; NADP+ binding [GO:0070401]; GDP-mannose metabolic process [GO:0019673]
P72621	unreviewed	P72621_SYNY3	dTDP-4-dehydrorhamnose reductase (EC 1.1.1.133)	rfbD	Synechocystis sp. (strain PCC 6803 / Kazusa)	280	GO:0005829; GO:0008831; GO:0019305; GO:0045226	cytosol [GO:0005829]; dTDP-4-dehydrorhamnose reductase activity [GO:0008831]; dTDP-rhamnose biosynthetic process [GO:0019305]; extracellular polysaccharide biosynthetic process [GO:0045226]
P72658	unreviewed	P72658_SYNY3	Mutator MutT protein	mutT	Synechocystis sp. (strain PCC 6803 / Kazusa)	136	GO:0006281; GO:0008413; GO:0035539; GO:0044715; GO:0044716; GO:0046872	8-oxo-7,8-dihydrodeoxyguanosine triphosphate pyrophosphatase activity [GO:0035539]; 8-oxo-7,8-dihydroguanosine triphosphate pyrophosphatase activity [GO:0008413]; 8-oxo-dGDP phosphatase activity [GO:0044715]; 8-oxo-GDP phosphatase activity [GO:0044716]; metal ion binding [GO:0046872]; DNA repair [GO:0006281]
P72661	unreviewed	P72661_SYNY3	Malic enzyme	me	Synechocystis sp. (strain PCC 6803 / Kazusa)	463	GO:0004470; GO:0004471; GO:0006090; GO:0006108; GO:0046872; GO:0051287	malate dehydrogenase (decarboxylating) (NAD+) activity [GO:0004471]; malic enzyme activity [GO:0004470]; metal ion binding [GO:0046872]; NAD binding [GO:0051287]; malate metabolic process [GO:0006108]; pyruvate metabolic process [GO:0006090]
P72688	unreviewed	P72688_SYNY3	Transcription termination/antitermination protein NusA	nusA	Synechocystis sp. (strain PCC 6803 / Kazusa)	458	GO:0003700; GO:0003723; GO:0005829; GO:0006353; GO:0031564	cytosol [GO:0005829]; DNA-binding transcription factor activity [GO:0003700]; RNA binding [GO:0003723]; DNA-templated transcription termination [GO:0006353]; transcription antitermination [GO:0031564]
P72735	unreviewed	P72735_SYNY3	Sll1040 protein	sll1040	Synechocystis sp. (strain PCC 6803 / Kazusa)	765	GO:0005886; GO:0008381; GO:0071470	plasma membrane [GO:0005886]; mechanosensitive monoatomic ion channel activity [GO:0008381]; cellular response to osmotic stress [GO:0071470]
P72775	unreviewed	P72775_SYNY3	Alanine dehydrogenase (EC 1.4.1.1)	sll1682	Synechocystis sp. (strain PCC 6803 / Kazusa)	360	GO:0000166; GO:0000286; GO:0006524; GO:0042853	alanine dehydrogenase activity [GO:0000286]; nucleotide binding [GO:0000166]; alanine catabolic process [GO:0006524]; L-alanine catabolic process [GO:0042853]
P72791	unreviewed	P72791_SYNY3	histidine kinase (EC 2.7.13.3)	sll1672	Synechocystis sp. (strain PCC 6803 / Kazusa)	834	GO:0000155; GO:0005886	plasma membrane [GO:0005886]; phosphorelay sensor kinase activity [GO:0000155]
P72808	unreviewed	P72808_SYNY3	Prephenate dehydratase (PDT) (EC 4.2.1.51)	pheA	Synechocystis sp. (strain PCC 6803 / Kazusa)	297	GO:0004106; GO:0004664; GO:0005737; GO:0009094	cytoplasm [GO:0005737]; chorismate mutase activity [GO:0004106]; prephenate dehydratase activity [GO:0004664]; L-phenylalanine biosynthetic process [GO:0009094]
P72834	unreviewed	P72834_SYNY3	UDP-glucose 6-dehydrogenase (EC 1.1.1.22)	slr1299	Synechocystis sp. (strain PCC 6803 / Kazusa)	453	GO:0000271; GO:0003979; GO:0006065; GO:0051287	NAD binding [GO:0051287]; UDP-glucose 6-dehydrogenase activity [GO:0003979]; polysaccharide biosynthetic process [GO:0000271]; UDP-glucuronate biosynthetic process [GO:0006065]
P72843	unreviewed	P72843_SYNY3	histidine kinase (EC 2.7.13.3)	slr1305	Synechocystis sp. (strain PCC 6803 / Kazusa)	840	GO:0000160	phosphorelay signal transduction system [GO:0000160]
P72880	unreviewed	P72880_SYNY3	Transport permease protein	slr0977	Synechocystis sp. (strain PCC 6803 / Kazusa)	276	GO:0015920; GO:0043190; GO:0140359	ATP-binding cassette (ABC) transporter complex [GO:0043190]; ABC-type transporter activity [GO:0140359]; lipopolysaccharide transport [GO:0015920]
P72897	unreviewed	P72897_SYNY3	Rhamnosyl O-methyltransferase	slr1619	Synechocystis sp. (strain PCC 6803 / Kazusa)	249	GO:0008168; GO:0008610; GO:0030206; GO:0071770	methyltransferase activity [GO:0008168]; chondroitin sulfate biosynthetic process [GO:0030206]; DIM/DIP cell wall layer assembly [GO:0071770]; lipid biosynthetic process [GO:0008610]
P72903	unreviewed	P72903_SYNY3	UDP-glucose 4-epimerase (EC 5.1.3.2)	galE	Synechocystis sp. (strain PCC 6803 / Kazusa)	340	GO:0003978; GO:0006012	UDP-glucose 4-epimerase activity [GO:0003978]; galactose metabolic process [GO:0006012]
P72908	unreviewed	P72908_SYNY3	GDP-mannose 4,6-dehydratase (EC 4.2.1.47)	yefA	Synechocystis sp. (strain PCC 6803 / Kazusa)	320	GO:0008446; GO:0019673; GO:0042351	GDP-mannose 4,6-dehydratase activity [GO:0008446]; 'de novo' GDP-L-fucose biosynthetic process [GO:0042351]; GDP-mannose metabolic process [GO:0019673]
P72927	unreviewed	P72927_SYNY3	Succinate--CoA ligase	sucC	Synechocystis sp. (strain PCC 6803 / Kazusa)	401	GO:0004775; GO:0005524; GO:0005829; GO:0006099; GO:0006104; GO:0042709; GO:0046872	cytosol [GO:0005829]; succinate-CoA ligase complex [GO:0042709]; ATP binding [GO:0005524]; metal ion binding [GO:0046872]; succinate-CoA ligase (ADP-forming) activity [GO:0004775]; succinyl-CoA metabolic process [GO:0006104]; tricarboxylic acid cycle [GO:0006099]
P72951	unreviewed	P72951_SYNY3	Adenylate cyclase	cyaA	Synechocystis sp. (strain PCC 6803 / Kazusa)	756	GO:0004016; GO:0009190; GO:0016020; GO:0035556; GO:0042802	membrane [GO:0016020]; adenylate cyclase activity [GO:0004016]; identical protein binding [GO:0042802]; cyclic nucleotide biosynthetic process [GO:0009190]; intracellular signal transduction [GO:0035556]
P72977	unreviewed	P72977_SYNY3	16.6 kDa small heat shock protein, molecular chaperon	hsp17	Synechocystis sp. (strain PCC 6803 / Kazusa)	146	GO:0006457; GO:0009408; GO:0009651; GO:0042542; GO:0043621; GO:0051082; GO:0051259	protein self-association [GO:0043621]; unfolded protein binding [GO:0051082]; protein complex oligomerization [GO:0051259]; protein folding [GO:0006457]; response to heat [GO:0009408]; response to hydrogen peroxide [GO:0042542]; response to salt stress [GO:0009651]
P73010	unreviewed	P73010_SYNY3	Sec-independent protein translocase protein TatA	tatA slr1046	Synechocystis sp. (strain PCC 6803 / Kazusa)	126	GO:0008320; GO:0033281; GO:0043953	TAT protein transport complex [GO:0033281]; protein transmembrane transporter activity [GO:0008320]; protein transport by the Tat complex [GO:0043953]
P73012	unreviewed	P73012_SYNY3	Nuclease SbcCD subunit C	sbcC slr1048	Synechocystis sp. (strain PCC 6803 / Kazusa)	1006	GO:0004519; GO:0004527; GO:0006260; GO:0006310	endonuclease activity [GO:0004519]; exonuclease activity [GO:0004527]; DNA recombination [GO:0006310]; DNA replication [GO:0006260]
P73015	unreviewed	P73015_SYNY3	Dolichyl-phosphate-mannose--protein mannosyltransferase (EC 2.4.1.109)	slr1050	Synechocystis sp. (strain PCC 6803 / Kazusa)	477	GO:0004169; GO:0005886	plasma membrane [GO:0005886]; dolichyl-phosphate-mannose-protein mannosyltransferase activity [GO:0004169]
P73020	unreviewed	P73020_SYNY3	magnesium chelatase (EC 6.6.1.1)	chlH	Synechocystis sp. (strain PCC 6803 / Kazusa)	1331	GO:0005524; GO:0015979; GO:0015995; GO:0016851	ATP binding [GO:0005524]; magnesium chelatase activity [GO:0016851]; chlorophyll biosynthetic process [GO:0015995]; photosynthesis [GO:0015979]
P73025	unreviewed	P73025_SYNY3	histidine kinase (EC 2.7.13.3)	sll1003	Synechocystis sp. (strain PCC 6803 / Kazusa)	661	GO:0000155; GO:0006355	phosphorelay sensor kinase activity [GO:0000155]; regulation of DNA-templated transcription [GO:0006355]
P73035	unreviewed	P73035_SYNY3	histidine kinase (EC 2.7.13.3)	slr1759	Synechocystis sp. (strain PCC 6803 / Kazusa)	1462	GO:0000155; GO:0005524; GO:0005737; GO:0005886; GO:0009736; GO:1902531	cytoplasm [GO:0005737]; plasma membrane [GO:0005886]; ATP binding [GO:0005524]; phosphorelay sensor kinase activity [GO:0000155]; cytokinin-activated signaling pathway [GO:0009736]; regulation of intracellular signal transduction [GO:1902531]
P73037	unreviewed	P73037_SYNY3	Peptidyl-prolyl cis-trans isomerase (EC 5.2.1.8)	ytfC	Synechocystis sp. (strain PCC 6803 / Kazusa)	201	GO:0003755; GO:0016020; GO:0030288; GO:0042026	membrane [GO:0016020]; outer membrane-bounded periplasmic space [GO:0030288]; peptidyl-prolyl cis-trans isomerase activity [GO:0003755]; protein refolding [GO:0042026]
P73038	unreviewed	P73038_SYNY3	5-formyltetrahydrofolate cyclo-ligase (EC 6.3.3.2)	sll1643	Synechocystis sp. (strain PCC 6803 / Kazusa)	188	GO:0005524; GO:0009396; GO:0030272; GO:0035999; GO:0046872	5-formyltetrahydrofolate cyclo-ligase activity [GO:0030272]; ATP binding [GO:0005524]; metal ion binding [GO:0046872]; folic acid-containing compound biosynthetic process [GO:0009396]; tetrahydrofolate interconversion [GO:0035999]
P73043	unreviewed	P73043_SYNY3	Glutamate decarboxylase (EC 4.1.1.15)	gad	Synechocystis sp. (strain PCC 6803 / Kazusa)	467	GO:0004351; GO:0005829; GO:0006538; GO:0030170	cytosol [GO:0005829]; glutamate decarboxylase activity [GO:0004351]; pyridoxal phosphate binding [GO:0030170]; glutamate catabolic process [GO:0006538]
P73059	unreviewed	P73059_SYNY3	Mercuric reductase	merA	Synechocystis sp. (strain PCC 6803 / Kazusa)	518	GO:0003955; GO:0016020; GO:0016668; GO:0050660	membrane [GO:0016020]; flavin adenine dinucleotide binding [GO:0050660]; NAD(P)H dehydrogenase (quinone) activity [GO:0003955]; oxidoreductase activity, acting on a sulfur group of donors, NAD(P) as acceptor [GO:0016668]
P73117	unreviewed	P73117_SYNY3	Penicillin-binding protein	ftsI	Synechocystis sp. (strain PCC 6803 / Kazusa)	607	GO:0008658; GO:0016020; GO:0071555	membrane [GO:0016020]; penicillin binding [GO:0008658]; cell wall organization [GO:0071555]
P73119	unreviewed	P73119_SYNY3	Glycolate oxidase iron-sulfur subunit (EC 1.1.99.14)	glcF	Synechocystis sp. (strain PCC 6803 / Kazusa)	460	GO:0046872; GO:0051539	4 iron, 4 sulfur cluster binding [GO:0051539]; metal ion binding [GO:0046872]
P73137	unreviewed	P73137_SYNY3	S-formylglutathione hydrolase (EC 3.1.2.12)	sll0992	Synechocystis sp. (strain PCC 6803 / Kazusa)	276	GO:0005829; GO:0018738; GO:0046294; GO:0052689	cytosol [GO:0005829]; carboxylic ester hydrolase activity [GO:0052689]; S-formylglutathione hydrolase activity [GO:0018738]; formaldehyde catabolic process [GO:0046294]
P73148	unreviewed	P73148_SYNY3	Sll0985 protein	sll0985	Synechocystis sp. (strain PCC 6803 / Kazusa)	704	GO:0005886; GO:0008381; GO:0051171; GO:0071470	plasma membrane [GO:0005886]; mechanosensitive monoatomic ion channel activity [GO:0008381]; cellular response to osmotic stress [GO:0071470]; regulation of nitrogen compound metabolic process [GO:0051171]
P73159	unreviewed	P73159_SYNY3	Cytochrome oxidase d subunit I	cydA	Synechocystis sp. (strain PCC 6803 / Kazusa)	483	GO:0005886; GO:0009055; GO:0016682; GO:0019646; GO:0020037; GO:0046872; GO:0070069	cytochrome complex [GO:0070069]; plasma membrane [GO:0005886]; electron transfer activity [GO:0009055]; heme binding [GO:0020037]; metal ion binding [GO:0046872]; oxidoreductase activity, acting on diphenols and related substances as donors, oxygen as acceptor [GO:0016682]; aerobic electron transport chain [GO:0019646]
P73160	unreviewed	P73160_SYNY3	Cytochrome oxidase d subunit II	cydB	Synechocystis sp. (strain PCC 6803 / Kazusa)	336	GO:0005886; GO:0009055; GO:0016682; GO:0019646; GO:0070069	cytochrome complex [GO:0070069]; plasma membrane [GO:0005886]; electron transfer activity [GO:0009055]; oxidoreductase activity, acting on diphenols and related substances as donors, oxygen as acceptor [GO:0016682]; aerobic electron transport chain [GO:0019646]
P73172	unreviewed	P73172_SYNY3	histidine kinase (EC 2.7.13.3)	sll1296	Synechocystis sp. (strain PCC 6803 / Kazusa)	924	GO:0000155; GO:0005737; GO:0006935	cytoplasm [GO:0005737]; phosphorelay sensor kinase activity [GO:0000155]; chemotaxis [GO:0006935]
P73176	unreviewed	P73176_SYNY3	PatA subfamily	sll1291	Synechocystis sp. (strain PCC 6803 / Kazusa)	401	GO:0000156; GO:0000976; GO:0005829; GO:0006355; GO:0032993	cytosol [GO:0005829]; protein-DNA complex [GO:0032993]; phosphorelay response regulator activity [GO:0000156]; transcription cis-regulatory region binding [GO:0000976]; regulation of DNA-templated transcription [GO:0006355]
P73218	unreviewed	P73218_SYNY3	peptidoglycan glycosyltransferase (EC 2.4.1.129)	mrcB	Synechocystis sp. (strain PCC 6803 / Kazusa)	749	GO:0004180; GO:0006508; GO:0008658; GO:0008955; GO:0009252; GO:0016020; GO:0046677	membrane [GO:0016020]; carboxypeptidase activity [GO:0004180]; penicillin binding [GO:0008658]; peptidoglycan glycosyltransferase activity [GO:0008955]; peptidoglycan biosynthetic process [GO:0009252]; proteolysis [GO:0006508]; response to antibiotic [GO:0046677]
P73275	unreviewed	P73275_SYNY3	Sodium/glutamate symporter	gltS	Synechocystis sp. (strain PCC 6803 / Kazusa)	402	GO:0005886; GO:0015501; GO:0015813	plasma membrane [GO:0005886]; glutamate:sodium symporter activity [GO:0015501]; L-glutamate transmembrane transport [GO:0015813]
P73282	unreviewed	P73282_SYNY3	Transketolase (EC 2.2.1.1)	tktA	Synechocystis sp. (strain PCC 6803 / Kazusa)	670	GO:0004802; GO:0046872	metal ion binding [GO:0046872]; transketolase activity [GO:0004802]
P73339	unreviewed	P73339_SYNY3	DNA 3'-5' helicase (EC 5.6.2.4)	sll1121	Synechocystis sp. (strain PCC 6803 / Kazusa)	770	GO:0003677; GO:0005524; GO:0016887; GO:0043139	5'-3' DNA helicase activity [GO:0043139]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; DNA binding [GO:0003677]
P73348	unreviewed	P73348_SYNY3	Rehydrin	slr1198	Synechocystis sp. (strain PCC 6803 / Kazusa)	211	GO:0005829; GO:0042802; GO:0045454; GO:0051920	cytosol [GO:0005829]; identical protein binding [GO:0042802]; peroxiredoxin activity [GO:0051920]; cell redox homeostasis [GO:0045454]
P73368	unreviewed	P73368_SYNY3	Magnesium transporter MgtE	mgtE	Synechocystis sp. (strain PCC 6803 / Kazusa)	463	GO:0005886; GO:0015095; GO:0046872	plasma membrane [GO:0005886]; magnesium ion transmembrane transporter activity [GO:0015095]; metal ion binding [GO:0046872]
P73394	unreviewed	P73394_SYNY3	NADH dehydrogenase subunit 4	ndhD3	Synechocystis sp. (strain PCC 6803 / Kazusa)	502	GO:0008137; GO:0009060; GO:0015990; GO:0016020; GO:0042773; GO:0048039	membrane [GO:0016020]; NADH dehydrogenase (ubiquinone) activity [GO:0008137]; ubiquinone binding [GO:0048039]; aerobic respiration [GO:0009060]; ATP synthesis coupled electron transport [GO:0042773]; electron transport coupled proton transport [GO:0015990]
P73405	unreviewed	P73405_SYNY3	Pyruvate dehydrogenase E1 component subunit beta (EC 1.2.4.1)	pdhB	Synechocystis sp. (strain PCC 6803 / Kazusa)	324	GO:0004739; GO:0006086	pyruvate dehydrogenase (acetyl-transferring) activity [GO:0004739]; acetyl-CoA biosynthetic process from pyruvate [GO:0006086]
P73417	unreviewed	P73417_SYNY3	threonine-phosphate decarboxylase (EC 4.1.1.81) (L-threonine-O-3-phosphate decarboxylase)	hisC	Synechocystis sp. (strain PCC 6803 / Kazusa)	352	GO:0008483; GO:0009236; GO:0030170; GO:0048472	pyridoxal phosphate binding [GO:0030170]; threonine-phosphate decarboxylase activity [GO:0048472]; transaminase activity [GO:0008483]; cobalamin biosynthetic process [GO:0009236]
P73435	unreviewed	P73435_SYNY3	Sec-independent protein translocase protein TatA	tatA ssl2823	Synechocystis sp. (strain PCC 6803 / Kazusa)	75	GO:0008320; GO:0033281; GO:0043953	TAT protein transport complex [GO:0033281]; protein transmembrane transporter activity [GO:0008320]; protein transport by the Tat complex [GO:0043953]
P73462	unreviewed	P73462_SYNY3	Urease accessory protein UreE	ureE	Synechocystis sp. (strain PCC 6803 / Kazusa)	142	GO:0005737; GO:0006457; GO:0016151; GO:0019627; GO:0051082; GO:0065003	cytoplasm [GO:0005737]; nickel cation binding [GO:0016151]; unfolded protein binding [GO:0051082]; protein folding [GO:0006457]; protein-containing complex assembly [GO:0065003]; urea metabolic process [GO:0019627]
P73465	unreviewed	P73465_SYNY3	ATP-dependent DNA helicase (EC 5.6.2.4)	uvrD	Synechocystis sp. (strain PCC 6803 / Kazusa)	793	GO:0003677; GO:0005524; GO:0005737; GO:0006268; GO:0016887; GO:0043139	cytoplasm [GO:0005737]; 5'-3' DNA helicase activity [GO:0043139]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; DNA binding [GO:0003677]; DNA unwinding involved in DNA replication [GO:0006268]
P73479	unreviewed	P73479_SYNY3	succinate dehydrogenase (EC 1.3.5.1)	frdA	Synechocystis sp. (strain PCC 6803 / Kazusa)	575	GO:0000104; GO:0005886; GO:0009055; GO:0009061; GO:0050660	plasma membrane [GO:0005886]; electron transfer activity [GO:0009055]; flavin adenine dinucleotide binding [GO:0050660]; succinate dehydrogenase activity [GO:0000104]; anaerobic respiration [GO:0009061]
P73496	unreviewed	P73496_SYNY3	proton-translocating NAD(P)(+) transhydrogenase (EC 7.1.1.1)	pntA	Synechocystis sp. (strain PCC 6803 / Kazusa)	530	GO:0005886; GO:0006740; GO:0008746; GO:0050661; GO:0051287; GO:1902600	plasma membrane [GO:0005886]; NAD binding [GO:0051287]; NAD(P)+ transhydrogenase activity [GO:0008746]; NADP binding [GO:0050661]; NADPH regeneration [GO:0006740]; proton transmembrane transport [GO:1902600]
P73500	unreviewed	P73500_SYNY3	NAD(P) transhydrogenase subunit beta (EC 7.1.1.1) (Nicotinamide nucleotide transhydrogenase subunit beta)	pntB	Synechocystis sp. (strain PCC 6803 / Kazusa)	480	GO:0005886; GO:0008750; GO:0050661	plasma membrane [GO:0005886]; NAD(P)+ transhydrogenase (AB-specific) activity [GO:0008750]; NADP binding [GO:0050661]
P73507	unreviewed	P73507_SYNY3	DNA polymerase III subunit	dnaX	Synechocystis sp. (strain PCC 6803 / Kazusa)	1116	GO:0003677; GO:0003887; GO:0005524; GO:0006260; GO:0009360; GO:0016539	DNA polymerase III complex [GO:0009360]; ATP binding [GO:0005524]; DNA binding [GO:0003677]; DNA-directed DNA polymerase activity [GO:0003887]; DNA replication [GO:0006260]; intein-mediated protein splicing [GO:0016539]
P73518	unreviewed	P73518_SYNY3	Single-stranded-DNA-specific exonuclease RecJ	recJ	Synechocystis sp. (strain PCC 6803 / Kazusa)	759	GO:0003676; GO:0006281; GO:0006310; GO:0008409	5'-3' exonuclease activity [GO:0008409]; nucleic acid binding [GO:0003676]; DNA recombination [GO:0006310]; DNA repair [GO:0006281]
P73519	unreviewed	P73519_SYNY3	histidine kinase (EC 2.7.13.3)	sll1353	Synechocystis sp. (strain PCC 6803 / Kazusa)	998	GO:0000155; GO:0016020	membrane [GO:0016020]; phosphorelay sensor kinase activity [GO:0000155]
P73544	unreviewed	P73544_SYNY3	Glutamine-binding periplasmic protein/glutamine transport system permease protein	glnH/glnP	Synechocystis sp. (strain PCC 6803 / Kazusa)	530	GO:0015276; GO:0043190; GO:0071705	ATP-binding cassette (ABC) transporter complex [GO:0043190]; ligand-gated monoatomic ion channel activity [GO:0015276]; nitrogen compound transport [GO:0071705]
P73561	unreviewed	P73561_SYNY3	Rqc2 homolog RqcH (RqcH)	rqcH slr0880	Synechocystis sp. (strain PCC 6803 / Kazusa)	590	GO:0000049; GO:0043023; GO:0072344; GO:1990112	RQC complex [GO:1990112]; ribosomal large subunit binding [GO:0043023]; tRNA binding [GO:0000049]; rescue of stalled ribosome [GO:0072344]
P73562	unreviewed	P73562_SYNY3	Carboxynorspermidine/carboxyspermidine decarboxylase (EC 4.1.1.96)	napC	Synechocystis sp. (strain PCC 6803 / Kazusa)	387	GO:0005737; GO:0008836; GO:0009089; GO:0045312	cytoplasm [GO:0005737]; diaminopimelate decarboxylase activity [GO:0008836]; lysine biosynthetic process via diaminopimelate [GO:0009089]; nor-spermidine biosynthetic process [GO:0045312]
P73608	unreviewed	P73608_SYNY3	1,4-alpha-glucan branching enzyme (EC 2.4.1.18)	glgX	Synechocystis sp. (strain PCC 6803 / Kazusa)	707	GO:0004133; GO:0004553; GO:0005980; GO:0016757; GO:0043169	cation binding [GO:0043169]; glycogen debranching enzyme activity [GO:0004133]; glycosyltransferase activity [GO:0016757]; hydrolase activity, hydrolyzing O-glycosyl compounds [GO:0004553]; glycogen catabolic process [GO:0005980]
P73677	unreviewed	P73677_SYNY3	Methylenetetrahydrofolate reductase	slr2141	Synechocystis sp. (strain PCC 6803 / Kazusa)	340	GO:0004489; GO:0005829; GO:0009086; GO:0035999; GO:0071949	cytosol [GO:0005829]; FAD binding [GO:0071949]; methylenetetrahydrofolate reductase (NAD(P)H) activity [GO:0004489]; methionine biosynthetic process [GO:0009086]; tetrahydrofolate interconversion [GO:0035999]
P73682	unreviewed	P73682_SYNY3	Site-specific DNA-methyltransferase (adenine-specific) (EC 2.1.1.72)	mbpA	Synechocystis sp. (strain PCC 6803 / Kazusa)	309	GO:0006298; GO:0009007; GO:0043565; GO:1904047	S-adenosyl-L-methionine binding [GO:1904047]; sequence-specific DNA binding [GO:0043565]; site-specific DNA-methyltransferase (adenine-specific) activity [GO:0009007]; mismatch repair [GO:0006298]
P73687	unreviewed	P73687_SYNY3	histidine kinase (EC 2.7.13.3)	slr1805	Synechocystis sp. (strain PCC 6803 / Kazusa)	749	GO:0000155; GO:0005886	plasma membrane [GO:0005886]; phosphorelay sensor kinase activity [GO:0000155]
P73711	unreviewed	P73711_SYNY3	Threonine synthase	thrC	Synechocystis sp. (strain PCC 6803 / Kazusa)	433	GO:0003941; GO:0004794; GO:0006565; GO:0006567; GO:0009097	L-serine ammonia-lyase activity [GO:0003941]; L-threonine ammonia-lyase activity [GO:0004794]; isoleucine biosynthetic process [GO:0009097]; L-serine catabolic process [GO:0006565]; threonine catabolic process [GO:0006567]
P73717	unreviewed	P73717_SYNY3	tRNA-specific adenosine deaminase (EC 3.5.4.33)	tadA sll1631	Synechocystis sp. (strain PCC 6803 / Kazusa)	164	GO:0002100; GO:0008270; GO:0052717	tRNA-specific adenosine-34 deaminase activity [GO:0052717]; zinc ion binding [GO:0008270]; tRNA wobble adenosine to inosine editing [GO:0002100]
P73723	unreviewed	P73723_SYNY3	Fumarate reductase iron-sulfur subunit (EC 1.3.5.1)	sdhB	Synechocystis sp. (strain PCC 6803 / Kazusa)	331	GO:0006099; GO:0009055; GO:0046872; GO:0051537; GO:0051538; GO:0051539; GO:0102040	2 iron, 2 sulfur cluster binding [GO:0051537]; 3 iron, 4 sulfur cluster binding [GO:0051538]; 4 iron, 4 sulfur cluster binding [GO:0051539]; electron transfer activity [GO:0009055]; fumarate reductase (menaquinone) [GO:0102040]; metal ion binding [GO:0046872]; tricarboxylic acid cycle [GO:0006099]
P73786	unreviewed	P73786_SYNY3	Phosphate transport system permease protein	pstC	Synechocystis sp. (strain PCC 6803 / Kazusa)	328	GO:0005315; GO:0005886; GO:0006817	plasma membrane [GO:0005886]; inorganic phosphate transmembrane transporter activity [GO:0005315]; phosphate ion transport [GO:0006817]
P73787	unreviewed	P73787_SYNY3	Phosphate transport system permease protein PstA	pstA	Synechocystis sp. (strain PCC 6803 / Kazusa)	290	GO:0005315; GO:0005886; GO:0035435	plasma membrane [GO:0005886]; inorganic phosphate transmembrane transporter activity [GO:0005315]; phosphate ion transmembrane transport [GO:0035435]
P73806	unreviewed	P73806_SYNY3	histidinol-phosphatase (EC 3.1.3.15) (Histidinol-phosphate phosphatase)	suhB	Synechocystis sp. (strain PCC 6803 / Kazusa)	267	GO:0000105; GO:0004401; GO:0042578; GO:0046872	histidinol-phosphatase activity [GO:0004401]; metal ion binding [GO:0046872]; phosphoric ester hydrolase activity [GO:0042578]; histidine biosynthetic process [GO:0000105]
P73828	unreviewed	P73828_SYNY3	histidine kinase (EC 2.7.13.3)	sll1905	Synechocystis sp. (strain PCC 6803 / Kazusa)	1014	GO:0000155	phosphorelay sensor kinase activity [GO:0000155]
P73865	unreviewed	P73865_SYNY3	histidine kinase (EC 2.7.13.3)	sll1590	Synechocystis sp. (strain PCC 6803 / Kazusa)	350	GO:0000155; GO:0016020	membrane [GO:0016020]; phosphorelay sensor kinase activity [GO:0000155]
P73885	unreviewed	P73885_SYNY3	Ribosome biogenesis GTPase A	slr0267	Synechocystis sp. (strain PCC 6803 / Kazusa)	279	GO:0003924; GO:0005525; GO:0005737; GO:0006412	cytoplasm [GO:0005737]; GTP binding [GO:0005525]; GTPase activity [GO:0003924]; translation [GO:0006412]
P73886	unreviewed	P73886_SYNY3	Ribosome-binding ATPase YchF	ychF sll0245	Synechocystis sp. (strain PCC 6803 / Kazusa)	363	GO:0005524; GO:0005525; GO:0005737; GO:0016887; GO:0043023	cytoplasm [GO:0005737]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; GTP binding [GO:0005525]; ribosomal large subunit binding [GO:0043023]
P73887	unreviewed	P73887_SYNY3	UDP-glucose 4-epimerase (EC 5.1.3.2)	galE	Synechocystis sp. (strain PCC 6803 / Kazusa)	338	GO:0003978; GO:0005829; GO:0033499	cytosol [GO:0005829]; UDP-glucose 4-epimerase activity [GO:0003978]; galactose catabolic process via UDP-galactose [GO:0033499]
